Gender,HSC,SSC,Income,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
0,3.92,3.94,2.0,5,3,4,3,0,3,1,9,3.64,3.6
0,3.67,4.44,4.0,5,3,4,3,0,3,1,6,3.63,3.6
0,5.0,5.0,3.0,4,4,3,4,1,5,1,4,3.66,3.61
1,4.16,4.67,3.0,3,3,4,4,0,3,1,10,3.66,3.62
0,4.83,5.0,2.0,3,3,4,3,0,3,1,2,3.63,3.63
1,4.25,5.0,2.0,5,3,4,3,0,3,1,2,3.63,3.63
0,4.5,5.0,2.0,3,1,3,4,0,4,0,11,3.88,3.64
0,3.5,4.72,4.0,3,3,4,3,0,3,1,2,3.64,3.64
1,3.75,5.0,1.0,5,3,1,4,0,4,1,11,3.71,3.65
1,5.0,5.0,3.0,3,3,1,4,1,3,0,4,3.6,3.65
0,4.42,5.0,4.0,4,3,4,4,0,4,0,10,3.53,3.67
0,4.5,5.0,3.0,5,3,3,3,0,3,0,10,3.5,3.67
0,4.42,5.0,3.0,5,3,4,3,0,5,1,10,3.55,3.67
0,3.17,4.31,4.0,4,3,3,3,0,3,0,9,3.5,3.67
1,3.67,4.38,3.0,3,3,4,4,0,4,0,8,3.52,3.67
0,3.83,4.94,3.0,4,3,3,3,0,3,0,8,3.51,3.67
0,4.33,5.0,4.0,4,3,4,4,0,4,0,8,3.52,3.67
0,4.5,5.0,1.0,3,3,3,3,0,3,0,6,3.5,3.67
0,4.08,5.0,4.0,5,3,3,3,0,3,0,6,3.5,3.67
0,5.0,5.0,1.0,5,3,3,3,0,3,0,5,3.5,3.67
1,5.0,5.0,4.0,5,3,4,4,0,3,1,2,3.68,3.68
0,4.42,5.0,1.0,3,4,3,4,0,2,1,2,3.69,3.69
0,4.17,5.0,2.0,3,4,3,4,0,2,1,2,3.69,3.69
0,4.0,4.0,3.0,4,4,3,4,0,3,1,10,4.0,3.7
0,4.17,5.0,3.0,4,3,3,4,1,4,1,10,1.82,3.7
1,4.25,3.75,2.0,5,3,4,3,0,3,1,10,3.18,3.7
0,3.14,4.44,3.0,5,3,4,3,0,3,1,10,3.2,3.7
1,3.19,4.81,1.0,4,3,4,4,0,4,0,9,3.16,3.7
1,4.0,5.0,2.0,5,3,4,3,0,5,1,8,3.19,3.7
0,4.17,5.0,4.0,3,3,4,3,0,3,1,7,3.17,3.7
1,3.8,4.78,4.0,4,3,4,3,0,4,0,6,3.19,3.7
0,3.75,4.78,4.0,4,3,4,3,0,4,0,5,3.17,3.7
